Brand,Model,Year,KM Driven,Fuel Type,Transmission,Location,Price (INR)
Maruti,Celerio ZXI,2024.0,9000,Petrol,Manual,Mumbai,595000.0
Nissan,Magnite XE,2023.0,40347,Petrol,Manual,Mumbai,496000.0
Audi,Q3 Sportback 40TFSI Quattro,2024.0,7600,Petrol,Automatic,Mumbai,4700000.0
Honda,City GXi,2007.0,44000,Petrol,Manual,Mumbai,145000.0
BMW,X5 xDrive30d xLine,2024.0,13000,Diesel,Automatic,Mumbai,9495000.0
Audi,Q3 Bold Edition,2024.0,6691,Petrol,Automatic,Mumbai,4450000.0
Audi,Q3 Premium Plus BSVI,2023.0,18000,Petrol,Automatic,Navi Mumbai,3800000.0
Mahindra,Bolero B4,2024.0,25200,Diesel,Manual,Thane,1100000.0
Nissan,Magnite XV BSVI,2022.0,30000,Petrol,Manual,Navi Mumbai,675000.0
Toyota,Innova 2.5 G (Diesel) 7 Seater BS III,2010.0,150000,Diesel,Manual,Mumbai,380000.0
Renault,Kiger RXT AMT,2022.0,14090,Petrol,Automatic,Thane,675000.0
BMW,X3 xDrive20d M Sport,2023.0,21500,Diesel,Automatic,Mumbai,7000000.0
Hyundai,Exter SX CNG 4 Cylinder,2023.0,30000,CNG,Manual,Thane,890000.0
Kia,Sonet HTX Turbo DCT,2024.0,7800,Petrol,Automatic,Mumbai,1325000.0
Kia,Sonet X-line Turbo DCT,2024.0,7304,Petrol,Automatic,Mumbai,1450000.0
Skoda,Rapid 1.6 MPI Ambition Plus,2014.0,65000,Petrol,Manual,Mumbai,285000.0
Jeep,Compass 2.0 Sport,2018.0,80000,Diesel,Manual,Mumbai,790000.0
Renault,Kiger RXT AMT Opt,2021.0,22778,Petrol,Automatic,Thane,625000.0
Tata,Nexon XZA Plus P AMT,2022.0,32667,Petrol,Automatic,Thane,899000.0
Kia,Sonet HTK Plus Turbo DCT,2020.0,16357,Petrol,Automatic,Mumbai,890000.0
Nissan,Magnite XE,2023.0,40347,Petrol,Manual,Mumbai,496000.0
Renault,Kiger RXT AMT,2022.0,14090,Petrol,Automatic,Thane,675000.0
Hyundai,Elantra 2.0 SX AT,2017.0,49269,Petrol,Automatic,Thane,825000.0
MG,Hector Plus Sharp Pro CVT 7 Str,2025.0,4300,Petrol,Automatic,Mumbai,2145000.0
Hyundai,i20 Sportz Plus BSIV,2019.0,25000,Petrol,Manual,Mumbai,649000.0
Audi,Q3 Sportback 40TFSI Quattro,2024.0,7600,Petrol,Automatic,Mumbai,4700000.0
Hyundai,Verna SX IVT Opt,2023.0,15000,Petrol,Automatic,Mumbai,1475000.0
Mahindra,Thar LX 4WD Hard Top AT BSVI,2022.0,30000,Petrol,Automatic,Mumbai,1425000.0
Mahindra,Thar LX 4WD Hard Top Diesel BSVI,2021.0,43000,Diesel,Manual,Mumbai,1450000.0
MG,Gloster Savvy 7-Str,2021.0,50000,Diesel,Automatic,Mumbai,2950000.0
Hyundai,Creta 1.6 EX Petrol,2015.0,56686,Petrol,Manual,Mumbai,669000.0
Volkswagen,Taigun 1.0 TSI Topline AT BSVI,2022.0,36491,Petrol,Automatic,Mumbai,1049000.0
Audi,A6 35 TDI,2018.0,48191,Diesel,Automatic,Mumbai,2275000.0
Kia,Sonet HTX Turbo iMT BSVI,2021.0,30370,Petrol,Manual,Mumbai,819999.9999999999
Kia,Carens Luxury Plus DCT BSVI,2023.0,8911,Petrol,Automatic,Mumbai,1825000.0
Kia,Seltos GTX Plus Diesel AT,2023.0,29000,Diesel,Automatic,Mumbai,1950000.0
Jeep,Compass 2.0 Sport,2018.0,80000,Diesel,Manual,Mumbai,790000.0
Hyundai,IONIQ 5 Long Range RWD,2024.0,11000,Electric,Automatic,Mumbai,3690000.0
Tata,Nexon XZA Plus P AMT,2022.0,32667,Petrol,Automatic,Thane,899000.0
